id,word,start_char,type,chain_id
0	16	0	None	None
1	мужчин	3	coref	950
2	-	9	None	None
3	моряков	10	None	None
4	на	18	None	None
5	палубе	21	None	None
6	какого	28	None	None
7	-	34	None	None
8	то	35	None	None
9	небольшого	38	None	None
10	судна	49	coref	951
11	,	54	None	None
12	вероятно	56	None	None
13	,	64	None	None
14	речного	66	None	None
15	:	73	None	None
16	на	75	None	None
17	это	78	None	None
18	указывают	82	None	None
19	небольшие	92	None	None
20	габариты	102	None	None
21	и	111	None	None
22	малая	113	None	None
23	численность	119	None	None
24	экипажа	131	None	None
25	.	138	None	None
26	Один	140	None	None
27	из	145	None	None
28	них	148	coref	950
29	-	152	None	None
30	корабельный	154	None	None
31	кок	166	coref	952
32	,	169	None	None
33	его	171	coref	952
34	белая	175	None	None
35	униформа	181	None	None
36	указывает	190	None	None
37	на	200	None	None
38	это	203	None	None
39	.	206	None	None
40	Четверо	208	None	None
41	,	215	None	None
42	сидящие	217	None	None
43	снизу	225	None	None
44	,	230	None	None
45	скорее	232	None	None
46	всего	239	None	None
47	отличаются	245	None	None
48	по	256	None	None
49	социальному	259	None	None
50	и	271	None	None
51	служебному	273	None	None
52	положению	284	None	None
53	от	294	None	None
54	тех	297	None	None
55	,	300	None	None
56	что	302	None	None
57	стоят	306	None	None
58	,	311	None	None
59	вероятно	313	None	None
60	,	321	None	None
61	они	323	coref	953
62	ниже	327	None	None
63	:	331	None	None
64	их	333	coref	953
65	белые	336	None	None
66	матроски	342	None	None
67	простого	351	None	None
68	покроя	360	None	None
69	и	367	None	None
70	из	369	None	None
71	более	372	None	None
72	простой	378	None	None
73	ткани	386	None	None
74	,	391	None	None
75	указывают	393	None	None
76	на	403	None	None
77	это	406	None	None
78	.	409	None	None
79	Правда	411	None	None
80	,	417	None	None
81	эта	419	None	None
82	форма	423	None	None
83	так	429	None	None
84	же	433	None	None
85	может	436	None	None
86	являться	442	None	None
87	парадной	451	None	None
88	(	460	None	None
89	скорее	461	None	None
90	всего	468	None	None
91	так	474	None	None
92	и	478	None	None
93	есть	480	None	None
94	)	484	None	None
95	.	486	None	None
96	Мужчины	487	None	None
97	на	495	None	None
98	фото	498	None	None
99	не	503	None	None
100	являются	506	None	None
101	ровесниками	515	None	None
102	:	526	None	None
103	мы	528	coref	954
104	можем	531	None	None
105	видеть	537	None	None
106	как	544	None	None
107	минимум	548	None	None
108	две	556	None	None
109	возрастные	560	None	None
110	группы	571	None	None
111	.	577	None	None
112	У	579	None	None
113	судна	581	coref	951
114	,	586	None	None
115	на	588	None	None
116	котором	591	coref	951
117	сделана	599	None	None
118	фотография	607	None	None
119	экипажа	618	coref	950
120	,	625	None	None
121	есть	627	None	None
122	мачта	632	None	None
123	с	638	None	None
124	сопутствующим	640	None	None
125	такелажом	654	None	None
126	(	664	None	None
127	стальные	665	None	None
128	(	674	None	None
129	скорее	675	None	None
130	всего	682	None	None
131	)	687	None	None
132	ванты	689	None	None
133	,	694	None	None
134	фал	696	None	None
135	,	699	None	None
136	бакштаг	701	None	None
137	)	708	None	None
138	.	710	None	None
139	Скорее	712	None	None
140	всего	719	None	None
141	,	724	None	None
142	часть	726	None	None
143	судна	732	coref	951
144	,	737	None	None
145	на	739	None	None
146	котором	742	coref	951
147	сделана	750	None	None
148	фото	758	None	None
149	,	762	None	None
150	является	764	None	None
151	носовой	773	None	None
152	.	780	None	None
153	Сзади	782	None	None
154	мы	788	coref	954
155	можем	791	None	None
156	видеть	797	None	None
157	неширокий	804	None	None
158	мост	814	None	None
159	с	819	None	None
160	изящными	821	None	None
161	фонарями	830	None	None
162	,	838	None	None
163	указывающими	840	None	None
164	на	853	None	None
165	то	856	None	None
166	,	858	None	None
167	что	860	None	None
168	это	864	None	None
169	,	867	None	None
170	возможно	869	None	None
171	,	877	None	None
172	какое	879	None	None
173	-	884	None	None
174	то	885	None	None
175	поместье	888	None	None
176	.	896	None	None
177	День	898	None	None
178	солнечен	903	None	None
179	,	911	None	None
180	но	913	None	None
181	голубое	916	None	None
182	небо	924	None	None
183	начинают	929	None	None
184	заволакивать	938	None	None
185	свинцово	951	None	None
186	-	959	None	None
187	серые	960	None	None
188	грозовые	966	None	None
189	тучи	975	None	None
190	.	979	None	None
